Project ID,Name,Commercial Name,State,County,Status,Transmission Owner,MFO,MW Energy,MW Capacity,MW In Service,Capacity or Energy,Project Type,Fuel,Project (AC/DC),Rights (MW),Initial Study,Feasibility Study,Feasibility Study Status,System Impact Study,System Impact Study Status,Facilities Study,Facilities Study Status,Interim/Interconnection Service/Generation Interconnection Agreement,Interim/Interconnection Service/Generation Interconnection Agreement Status,Wholesale Market Participation Agreement,Construction Service Agreement,Construction Service Agreement Status,Upgrade Construction Service Agreement,Upgrade Construction Service Agreement Status,Backfeed Date,Submitted Date,Long-Term Firm Service Start Date,Long-Term Firm Service End Date,Test Energy Date,Withdrawal Date,Withdrawn Remarks,Projected In Service Date,Commercial Operation Milestone,Actual In Service Date,Attachment Type,Alternate Project,Sliding Project
AB2-148,Mapleton-Murphy 115kV,,NC,Hertford,Withdrawn,Dominion,19.9,19.9,0.0,,Energy,Generation Interconnection,Solar,,,,,Withdrawn,,,,,,,,,,,,,4/29/2016,,,,5/18/2016,Customer Milestone Not Met,10/30/2017,,,N,No,
AB2-149,Myrtle-Windsor 115kV,,VA,Isle of Wight,Withdrawn,Dominion,50.0,50.0,19.0,,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2149_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2149_imp.pdf,Document Posted,,,,,,,,,,,4/29/2016,,,,7/21/2017,Customer Initiated Withdrawal,10/30/2017,,,N,No,
AB2-150,Clubhouse-Freeman 115kV,,VA,Greensville,Withdrawn,Dominion,40.0,40.0,0.0,,Energy,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2150_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2150_imp.pdf,Document Posted,,,,,,,,,,,4/29/2016,,,,7/11/2017,Customer Initiated Withdrawal,10/30/2017,,,N,No,
AB2-151,Mapleton-Murphy 115kV,,NC,Hertford,Withdrawn,Dominion,19.9,19.9,0.0,,Energy,Generation Interconnection,Solar,,,,,Withdrawn,,,,,,,,,,,,,4/29/2016,,,,5/18/2016,Customer Milestone Not Met,10/30/2017,,,N,No,
AB2-152,Hopewell 230kV,,VA,City of Hopewell,Withdrawn,Dominion,57.6,54.0,54.0,,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2152_fea.pdf,Document Posted,,Withdrawn,,,,,,,,,,,4/29/2016,,,,2/1/2017,Customer Initiated Withdrawal,6/30/2019,,,N,No,
AB2-153,Church-Wye Mills 138 kV,Pondtown Solar 2,MD,Queen Anne's,In Service,DPL,40.0,20.0,7.6,20.0,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2153_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2153_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/ab2153_fac.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ab2_153_isa.pdf,Document Posted,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/csa/ab2_153_csa.pdf,Document Posted,,,,4/29/2016,,,9/23/2022,,,12/31/2023,12/31/2023,10/18/2022,N,No,
AB2-154,Kendall 345kV,,IL,Kendall,Withdrawn,ComEd,1283.0,65.0,65.0,,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2154_fea.pdf,Document Posted,,,,,,,,,,,,,4/29/2016,,,,9/27/2016,Customer Initiated Withdrawal,5/1/2017,,,N,No,
AB2-155,Richland-Stryker,,OH,Defiance,Withdrawn,ATSI,379.0,25.0,25.0,,Capacity,Generation Interconnection,Natural Gas,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2155_fea.pdf,Document Posted,,,,,,,,,,,,,4/29/2016,,,,11/4/2016,Customer Milestone Not Met,6/1/2017,,,N,No,
AB2-156,W.H. Zimmer 345kV,,OH,Clermont,Withdrawn,DEOK,1350.0,50.0,50.0,,Capacity,Generation Interconnection,Coal,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2156_fea.pdf,Document Posted,,,,,,,,,,,,,4/29/2016,,,,9/26/2016,Customer Initiated Withdrawal,6/1/2016,,,N,No,
AB2-157,Prince George's County 12kV,Rollins Avenue Phoenix,MD,Prince George's,In Service,PEPCO,2.5,2.5,0.8,2.5,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2157_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2157_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/ab2157_fac.pdf,Document Posted,,Wholesale Market Participation Agreement,https://www.pjm.com/pjmfiles/pub/planning/project-queues/wmpa/ab2157_wmpa.pdf,https://www.pjm.com/pjmfiles/pub/planning/project-queues/csa/ab2157_wmpa.pdf,Not Required,,,,4/29/2016,,,12/19/2019,,,7/12/2019,7/12/2019,12/23/2019,N,No,
