ProjectID,Cycle,State,Status,ProjectType,TransmissionOwner,Zone,MFO,MW_Energy,MW_Capacity,CapacityOrEnergy,Fuel,FuelPrimary,InServiceYear,TransmissionType
AG2-238,TC2,NC,Active,Generation Interconnection,Dominion,DOM,99.9,0.0,0.0,CAPACITY_RESOURCE,Storage,Storage,2027,
AH1-091,TC2,NC,Active,Generation Interconnection,Dominion,DOM,17.0,0.0,0.0,CAPACITY_RESOURCE,Storage,Storage,2027,
AG2-522,TC2,NC,Active,Generation Interconnection,Dominion,DOM,80.0,80.0,48.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AG2-121,TC2,NC,Active,Generation Interconnection,Dominion,DOM,140.0,0.0,0.0,CAPACITY_RESOURCE,Storage,Storage,2027,
AH1-040,TC2,NC,Active,Generation Interconnection,Dominion,DOM,150.0,150.0,90.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AF2-025,TC1,NJ,EP,Generation Interconnection,AEC,AE,20.0,20.0,8.0,Capacity,Storage,Storage,2028,
AH1-703,TC2,NJ,Active,Generation Interconnection,PSEG,PS,670.61,35.61,51.25,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2027,
AH1-260,TC2,NJ,Active,Generation Interconnection,AEC,AE,300.0,300.0,300.0,CAPACITY_RESOURCE,Storage,Storage,2029,
AF1-238,TC1,NJ,EP,Generation Interconnection,AEC,AE,50.0,50.0,20.0,Capacity,Storage,Storage,2028,
AG2-297,TC2,NJ,Active,Generation Interconnection,AEC,AE,19.0,19.0,11.4,CAPACITY_RESOURCE,Solar,Solar,2027,
AH1-701,TC2,NJ,Active,Generation Interconnection,AEC,AE,61.0,0.0,20.0,CAPACITY_RESOURCE,"Natural Gas,Oil,Hybrid",Natural Gas,2025,
AH1-258,TC2,NJ,Active,Generation Interconnection,JCPL,JCPL,19.25,19.25,8.09,CAPACITY_RESOURCE,Solar,Solar,2027,
AG2-016,TC2,NJ,Active,Generation Interconnection,JCPL,JCPL,19.8,19.8,8.32,CAPACITY_RESOURCE,Solar,Solar,2027,
AH1-334,TC2,NJ,Active,Generation Interconnection,JCPL,JCPL,19.25,19.25,8.09,CAPACITY_RESOURCE,Solar,Solar,2027,
AH1-054,TC2,NJ,Active,Generation Interconnection,JCPL,JCPL,8.25,8.25,3.46,CAPACITY_RESOURCE,Solar,Solar,2027,
AH1-641,TC2,NJ,Active,Generation Interconnection,AEC,AE,65.0,15.0,7.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-710,TC2,NJ,Active,Generation Interconnection,PSEG,PS,2650.8,256.8,228.2,CAPACITY_RESOURCE,Nuclear,Nuclear,2027,
AG2-616,TC2,NJ,Active,Generation Interconnection,AEC,AE,50.0,50.0,32.35,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-722,TC2,NJ,Active,Generation Interconnection,PSEG,PS,806.4,130.4,158.1,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2030,
AH1-715,TC2,NJ,Active,Generation Interconnection,PSEG,PS,803.17,127.17,149.37,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2029,
AH1-257,TC2,NJ,Active,Generation Interconnection,JCPL,JCPL,19.25,19.25,8.09,CAPACITY_RESOURCE,Solar,Solar,2027,
AG2-625,TC2,NJ,Active,Generation Interconnection,JCPL,JCPL,19.6,19.6,8.23,CAPACITY_RESOURCE,Solar,Solar,2027,
AG2-626,TC2,NJ,Active,Generation Interconnection,JCPL,JCPL,12.5,12.5,5.25,CAPACITY_RESOURCE,Solar,Solar,2027,
AH1-680,TC2,OH,Active,Generation Interconnection,ATSI,ATSI,1300.0,1300.0,1300.0,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2030,
AG2-216,TC2,OH,Active,Generation Interconnection,DAYTON,DAY,144.0,0.0,25.92,CAPACITY_RESOURCE,Solar,Solar,2026,
AH1-699,TC2,OH,Active,Generation Interconnection,ATSI,ATSI,1210.0,58.0,69.0,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2025,
AH1-327,TC2,OH,Active,Generation Interconnection,AEP,AEP,250.0,0.0,8.44,CAPACITY_RESOURCE,Solar,Solar,2026,
AH1-580,TC2,OH,Active,Generation Interconnection,AEP,AEP,400.0,200.0,134.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AG2-082,TC2,OH,Active,Generation Interconnection,AEP,AEP,200.0,200.0,133.4,CAPACITY_RESOURCE,Solar,Solar,2029,
AH1-537,TC2,OH,Active,Generation Interconnection,OVEC,OVEC,178.5,178.5,17.85,CAPACITY_RESOURCE,Solar,Solar,2028,
AG2-109,TC2,OH,Active,Generation Interconnection,ATSI,ATSI,40.0,40.0,28.1,CAPACITY_RESOURCE,Solar,Solar,2029,
AG2-548,TC2,OH,Active,Generation Interconnection,AEP,AEP,80.0,80.0,54.0,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",Solar,2028,
AH1-055,TC2,OH,Active,Generation Interconnection,OVEC,OVEC,220.0,220.0,154.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AG2-665,TC2,OH,Active,Generation Interconnection,AEP,AEP,160.0,80.0,54.0,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",Solar,2028,
AH1-059,TC2,OH,Active,Generation Interconnection,AEP,AEP,101.0,21.0,12.6,CAPACITY_RESOURCE,Solar,Solar,2029,
AH1-686,TC2,OH,Active,Generation Interconnection,AEP,AEP,1364.0,24.0,21.0,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2027,
AH1-328,TC2,OH,Active,Generation Interconnection,DAYTON,DAY,206.55,0.0,21.3,CAPACITY_RESOURCE,Solar,Solar,2030,
